@relation 'matchadata-v2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute league {LCK,TCL,NAAc,EULCS,NALCS,LMS,CBLoL,LPL}
@attribute side {Blue,Red}
@attribute team {'Kingzone DragonX','KSV Esports','Kongdoo Monster',MVP,YouthCREW,'HWA Gaming','Afreeca Freecs','KT Rolster','SK Telecom T1','ROX Tigers','BBQ Olivers','Fenerbahce Esports','Dark Passage','Jin Air Green Wings','OpTic Academy','Team Liquid Academy','FlyQuest Academy','TSM Academy','CLG Academy','100 Thieves Academy','Golden Guardians Academy','Cloud9 Academy','Echo Fox Academy','Clutch Gaming Academy','G2 Esports',Misfits,H2K,Vitality,'Unicorns of Love','Giants Gaming',Roccat,'Schalke 04',Fnatic,Splyce,'Team Liquid','Team SoloMid','100 Thieves','OpTic Gaming','Clutch Gaming','Golden Guardians','Echo Fox',FlyQuest,'Counter Logic Gaming',Cloud9,'J Team','MAD Team','Hong Kong Attitude','AHQ e-Sports Club','INTZ e-Sports Club','Vivo Keyd','CNB e-Sports Club','KaBuM e-Sports','paiN Gaming','Team One e-Sports','Red Canids','ProGaming Esports',SuperMassive,'Royal Bandits e-sports',Galakticos,'Team AURORA','Team WE','Bilibili Gaming','Vici Gaming','Snake Esports','EDward Gaming','Funplus Phoenix',OMG,'Invictus Gaming','Royal Never Give Up','JD Gaming','LGD Gaming','Rogue Warriors','Topsports Gaming','Suning Gaming','Machi 17','Flash Wolves','Team Afro',G-Rex}
@attribute gamelength numeric
@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute teamdragkills numeric
@attribute elders numeric
@attribute herald numeric
@attribute teamtowerkills numeric
@attribute teambaronkills numeric
@attribute dmgtochamps numeric
@attribute wards numeric
@attribute totalgold numeric
@attribute earnedgpm numeric
@attribute cspm numeric
@attribute result {lose,win}

@data
NAAc,Blue,'Team Liquid Academy',31.65,4,19,7,2,0,0,1,0,47633,171,51814,981.554502,35.703002,lose
EULCS,Red,'G2 Esports',39.966667,7,16,21,4,0,?,3,0,100947,167,70190,1109.734779,34.753962,lose
EULCS,Blue,Splyce,44.233333,7,13,18,2,0,?,4,0,65142,170,75095,1054.548606,35.290128,lose
EULCS,Red,H2K,31.7,0,7,0,0,0,1,2,0,48140,163,52327,995.223975,38.107256,lose
EULCS,Blue,Fnatic,41,5,12,11,2,1,1,5,1,70459,231,75881,1205.146341,38.02439,lose
EULCS,Blue,'Unicorns of Love',35.916667,4,10,12,0,0,?,2,0,50978,168,60162,1024.677494,36.445476,lose
LCK,Red,'SK Telecom T1',51.533333,9,9,26,1,0,1,5,1,78210,295,97273,1248.834411,38.479948,lose
LCK,Blue,'SK Telecom T1',28.183333,3,8,4,0,0,1,0,0,32975,139,45501,953.570668,37.646363,lose
LCK,Red,'BBQ Olivers',32.15,4,9,7,0,0,0,0,0,29774,169,53767,1017.517885,39.844479,lose
LCK,Red,'KT Rolster',41,5,12,12,0,0,?,1,0,73562,216,68419,1023.146341,38.02439,lose
LCK,Red,'BBQ Olivers',35.283333,4,12,6,0,0,?,1,0,45060,183,60997,1077.721304,40.95418,lose
NAAc,Blue,'Clutch Gaming Academy',39.766667,14,24,32,2,0,1,5,1,93037,175,72768,1183.222129,33.621123,lose
NAAc,Red,'OpTic Academy',35.733333,5,12,13,0,0,?,2,0,61092,173,58927,998.51306,35.932836,lose
NAAc,Red,'Echo Fox Academy',26.783333,4,14,7,0,0,0,0,0,44091,105,44028,980.408214,36.925949,lose
NAAc,Red,'100 Thieves Academy',25.4,2,13,5,0,0,0,0,0,24681,98,38070,832.566929,32.362205,lose
NAAc,Blue,'Golden Guardians Academy',24.116667,3,15,9,0,0,0,4,0,32883,91,40536,1011.690394,32.674499,lose
LCK,Blue,'KSV Esports',30.983333,2,16,7,2,0,1,1,0,65348,114,53089,1056.994083,38.956428,lose
LCK,Red,'KSV Esports',46.283333,12,13,38,3,1,?,7,0,103297,225,87506,1248.885848,38.912495,lose
LCK,Blue,'ROX Tigers',34.733333,5,11,12,0,0,0,1,0,37805,184,58011,1018.508637,38.435701,lose
LCK,Red,'ROX Tigers',53.5,6,10,16,5,1,1,5,1,60579,303,98998,1212.672897,39.607477,lose
EULCS,Red,H2K,30.116667,3,6,5,1,0,?,3,0,34910,161,51851,1063.915883,39.778639,lose
EULCS,Red,'Unicorns of Love',31.516667,2,12,5,2,0,0,3,0,42293,168,56262,1129.427816,37.948176,lose
EULCS,Red,Vitality,31.333333,3,14,5,2,0,1,6,0,45094,117,54828,1093.851064,36.734043,lose
EULCS,Blue,'Schalke 04',47.95,5,11,16,2,0,?,7,2,99277,231,90988,1256.821689,38.31074,lose
